Training, ewt, gum, lines, partut, foot, pud
ewt, -0.00018230775288985388, -0.0002275880313442623, -0.000223279675081262, -0.000335444200277711, -0.00023688838967860358, -0.00019328941995061765
gum, -0.00011950123088537086, -0.00020219772514233102, -0.00019359142893491453, -0.0003611113579476099, -0.00021342253932412372, -0.00014248341067756235
lines, -0.00011125853604742509, -0.00020894939325457313, -0.00020491538739374633, -0.0003929260133385672, -0.00022261685678143998, -0.00013637336943560485
partut, -0.0001261873598880395, -0.0002420547590509396, -0.00023098442685580273, -0.00048373011833891357, -0.0002605907349490621, -0.0001578181084874502
