Training, ewt, gum, lines, partut, foot, pud
ewt, 28.285171904661464, 28.49725106902871, 28.961748633879782, 16.066212268743914, 36.06811145510836, 33.146826162454175
gum, 51.42375026365745, 40.867440439828954, 44.80874316939891, 31.937682570593964, 49.12280701754386, 49.623770017364464
lines, 57.54060324825986, 50.519242516799025, 36.55130540376442, 33.106134371957154, 54.076367389060884, 57.360601967972215
partut, 59.333473950643324, 51.099572388515575, 51.608986035215544, 17.624148003894838, 56.70794633642931, 54.40864364267799
